GPU        CPU
132075181  242773208
131273226  244560352
129165007  235107654
127608294  234691320
128863574  235172332
128327380  235747396
130011004  234638641
128953588  234620297
128844313  235712212
129749767  235408029
129409002  235126498
128210349  235366572
128097788  241652408
128699905  236642500
126329867  236292758
129999517  234813722
128758077  236237953
128058311  235649227
126503508  235377542
127561107  234551925
128871814  235506515
129560075  235561423
130096000  234774481
128168086  235225237
129715019  236490589
128727873  236441920
128817418  235665375
127888861  237370156
128998986  235312731
128784366  235083750
129922499  234698782
128277095  235660109
128749268  236046713
129213151  232205927
128496113  244780678
128302635  235420541
129686390  236609899
128540551  236565689
128325585  235591540
128329779  244211771
129368973  236984942
129933624  232277134
127004529  243526168
129046770  235581681
130301741  236914863
128574105  236793307
128551222  242105873
129487009  232285503
128480020  237115118
128245952  234831348
128736342  234433624
127943538  235108134
127545122  235039389
128849750  235657937
129935788  235647513
128124676  234592570
129409972  235053173
128919826  234471279
129069714  235075536
125872213  235029069
128301744  236696614
127273563  234933600
127597512  235244115
128489143  234703484
129325109  233912857
129484892  235531276
126868429  235238616
129638526  238892304
128017652  236236458
130419240  235968365
129282751  234885994
128964815  235469276
128784183  234733990
129902641  235584284
129228881  234823718
128453808  234361437
128638545  235529414
128686387  235510949
127440216  234959047
128905349  234754651
129772013  243945348
129917733  234687142
129653105  234725608
126290088  233277958
128794925  236320309
129692920  242863041
128645464  234792655
129078431  235620806
129397762  235881450
129755869  237387688
128792494  235193378
129062357  234523529
126097661  234897842
128307606  236327793
130170160  234240920
129391166  235666028
128205669  236565207
130066603  236306869
128891795  235869714
127327193  236007892
