GPU         CPU
1627531000  586054000
1610863000  655025000
1612621000  595965000
1619460000  584556000
1617715000  693677000
1628102000  690888000
1621303000  569906000
1631471000  604278000
1621183000  634991000
1606590000  593362000
1608550000  606721000
1622451000  587751000
1615109000  622457000
1619003000  619908000
1620454000  616454000
1612079000  665562000
1618405000  634951000
1597271000  552215000
1628877000  611657000
1633328000  642480000
1623322000  593217000
1609626000  603144000
1611967000  611296000
1611881000  584805000
1611938000  588714000
1622174000  605910000
1622719000  605991000
1616031000  581435000
1615204000  596043000
1626333000  634701000
1615544000  607107000
1649413000  593250000
1652059000  580278000
1607194000  614064000
1619207000  601292000
1621719000  569343000
1631570000  537194000
1616043000  639569000
1622872000  554786000
1637141000  571934000
1913552000  623205000
1622296000  801130000
1662142000  657745000
1642917000  605911000
1648241000  575797000
1681805000  532156000
1623835000  597898000
1680075000  614802000
1663954000  578066000
1651918000  589860000
1680082000  587460000
1649440000  610978000
1690857000  579991000
1674582000  564648000
1649494000  590255000
1815738000  574601000
1715316000  582684000
1691229000  559314000
1768578000  594424000
1639406000  568118000
1697235000  581573000
1652740000  742962000
1633761000  581908000
1620086000  557047000
1665627000  577860000
1664610000  602125000
1628392000  539308000
1669978000  567663000
1654076000  586974000
1640994000  573070000
1767286000  564491000
1947811000  582002000
1727781000  575016000
1623347000  678944000
1646922000  597041000
1621296000  555490000
1635631000  607544000
1617373000  566425000
1626611000  560337000
2025160000  662207000
1957803000  581122000
1985582000  540453000
1699973000  569336000
1618080000  578252000
1626576000  574443000
1653210000  590871000
1622290000  548403000
1658163000  571174000
1618916000  566407000
1617880000  553002000
1620813000  560883000
1620154000  614587000
1627969000  583159000
1648991000  545104000
1623491000  561987000
1633291000  585077000
1643410000  555233000
1650758000  574094000
1695974000  547783000
1649987000  610553000
