GPU       CPU
0.180956  1.56298
0.172174  1.56548
0.168001  1.55749
0.172949  1.56344
0.171094  1.55321
0.16887   1.56776
0.169942  1.55157
0.170109  1.56519
0.171531  1.56382
0.167275  1.55646
0.170628  1.54671
0.170852  1.56207
0.172755  1.55914
0.168577  1.56787
0.170431  1.55053
0.171058  1.56328
0.172392  1.56212
0.170366  1.56204
0.172068  1.55381
0.167852  1.56892
0.167617  1.56481
0.169728  1.5631
0.168065  1.56142
0.171429  1.5653
0.16719   1.56493
0.160143  1.56218
0.169543  1.56357
0.164573  1.56171
0.17292   1.55846
0.170307  1.56534
0.172916  1.55438
0.163511  1.56153
0.168914  1.56459
0.169512  1.56889
0.168572  1.56733
0.165568  1.55671
0.17082   1.56204
0.165356  1.5627
0.163461  1.56492
0.169317  1.55977
0.170085  1.56406
0.16725   1.54622
0.166285  1.58139
0.166457  1.54117
0.169476  1.56056
0.161726  1.56013
0.16823   1.56465
0.175051  1.57053
0.169486  1.565
0.1633    1.56187
0.165037  1.56489
0.168867  1.56933
0.165392  1.55687
0.167951  1.56834
0.17161   1.5599
0.167012  1.58061
0.167915  1.56038
0.168928  1.56372
0.162626  1.57564
0.165985  1.56491
0.165826  1.53811
0.16874   1.56497
0.169651  1.56128
0.168986  1.59029
0.169171  1.56111
0.167806  1.56148
0.161844  1.57079
0.175002  1.57324
0.167495  1.58303
0.170312  1.56181
0.16701   1.59332
0.168183  1.56018
0.161597  1.56953
0.164368  1.54465
0.162873  1.56779
0.170276  1.56702
0.166153  1.5668
0.163445  1.57041
0.164679  1.56722
0.168247  1.57155
0.173169  1.55376
0.164197  1.56463
0.169844  1.55905
0.164344  1.56632
0.168639  1.56367
0.169779  1.56978
0.16419   1.56259
0.164467  1.56338
0.162254  1.57059
0.165572  1.56553
0.168961  1.56434
0.170583  1.56433
0.171227  1.57012
0.162587  1.55494
0.164888  1.56965
0.170636  1.56715
0.163675  1.57093
0.164679  1.54585
0.169539  1.57062
0.162734  1.5627
