GPU      CPU
1.87803  1.30518
1.06941  1.34196
1.05707  1.33217
1.06251  1.30328
1.05744  1.28806
1.0679   1.26402
1.06638  1.36218
1.06521  1.41868
1.06451  1.34527
1.06397  1.24444
1.06834  1.30836
1.06001  1.28777
1.06902  1.28731
1.05619  1.32319
1.06379  1.19015
1.06945  1.34959
1.0757   1.32479
1.07025  1.258
1.05391  1.25632
1.0616   1.21159
1.06448  1.22427
1.06445  1.24141
1.06175  1.25698
1.06004  1.2708
1.06464  1.24068
1.06775  1.2718
1.06986  1.22672
1.06637  1.26358
1.06073  1.25241
1.07137  1.30634
1.05491  1.20539
1.06337  1.23767
1.06224  1.22774
1.07     1.20239
1.06523  1.22162
1.06276  1.22349
1.085    1.29698
1.06308  1.23796
1.06868  1.24193
1.06946  1.30661
1.08372  1.17035
1.06221  1.22407
1.08007  1.16161
1.07255  1.16052
1.08028  1.23489
1.07635  1.2091
1.07732  1.24244
1.05191  1.17975
1.07309  1.17024
1.06442  1.22389
1.06616  1.21282
1.05905  1.21844
1.06874  1.16609
1.06709  1.13959
1.06242  1.20472
1.06957  1.17639
1.08233  1.19483
1.0721   1.18905
1.07414  1.1469
1.06716  1.20753
1.08026  1.20038
1.0885   1.17251
1.07418  1.15925
1.05474  1.13719
1.05699  1.16638
1.08886  1.17026
1.0731   1.19871
1.08783  1.17701
1.07667  1.14034
1.06483  1.18044
1.0784   1.14994
1.06344  1.24219
1.07247  1.15111
1.07076  1.19775
1.0856   1.13378
1.09558  1.15052
1.07431  1.3339
1.08174  1.13221
1.0862   1.15128
1.08842  1.20952
1.08615  1.17122
1.08026  1.11252
1.0863   1.1925
1.08531  1.1795
1.07412  1.22365
1.09942  1.1791
1.08865  1.16148
1.06949  1.21715
1.07563  1.20356
1.10061  1.20415
1.0779   1.21195
1.10313  1.19767
1.08729  1.30278
1.08055  1.23684
1.08865  1.26529
1.07401  1.28248
1.07736  1.27038
1.09591  1.24138
1.09926  1.40715
1.07444  1.37105
